Batch No.,Serial No.,Cathode Lum. Sens.,Anode Lum. Sens.,Anode Dark Current,Cathode Blue Sens.,Supply Voltage,Peak to Valley Ratio,Dark Count,TTS,QE @ 390 nm,QE @ 450 nm, num
268,KM56665,105,359,1.2,10.9,1040,3.79,250,,,,268
269,KM56666,102,238,0.7,11,1080,3.47,310,,,,269
270,KM56668,92,241,0.9,10.5,1060,3.02,480,,,,270
271,KM56670,106,171,0.6,11.1,1140,3.81,590,,,,271
272,KM56671,112,319,1.1,11.2,1060,3.33,320,,,,272
273,KM56672,113,247,1.4,11.3,1100,3.46,230,,,,273
274,KM56673,110,222,1.4,11.2,1110,3.54,400,,,,274
275,KM56674,106,293,0.9,11.1,1060,3.08,310,,,,275
276,KM56675,108,306,1.1,11.1,1060,3.16,680,,,,276
277,KM56676,105,419,3,10.9,1010,3.78,350,,,,277
278,KM56677,110,196,1.4,11.3,1130,3.5,330,,,,278
279,KM55295,96,369,2,10.5,1020,2.59,1520,,,,279
280,KM55292,104,175,1.4,10.7,1150,3.45,280,,,,280
281,KM55798,122,388,1.8,11.6,1050,3.38,250,,,,281
282,KM55799,120,403,1.9,11.6,1030,3.58,400,,,,282
283,KM55802,109,371,1.8,11.1,1030,3.32,210,,,,283
284,KM55803,104,253,2.5,11,1090,2.85,240,,,,284
285,KM55804,113,440,2.4,11.4,1020,3.89,180,,,,285
286,KM55833,98,354,2.5,10.8,1030,3.77,220,,,,286
287,KM55838,106,405,3.2,11.3,1020,3.61,1160,,,,287
288,KM55839,98,396,2.7,11,1000,3.77,840,,,,288
289,KM55840,103,349,1.4,11.1,1040,3.6,1270,,,,289
290,KM55841,102,361,2.3,11,1030,3.97,770,,,,290
291,KM55842,105,233,4.4,11.1,1100,2.76,930,,,,291
292,KM55843,118,424,1.4,11.5,1030,3.5,330,,,,292
293,KM55845,101,284,1.5,11.1,1070,3.85,190,,,,293
294,KM55848,90,214,1,10.4,1100,2.85,290,,,,294
295,KM55849,102,375,3.1,11.1,1030,3.61,270,,,,295
296,KM55851,96,361,1.4,10.8,1020,3.84,170,,,,296
297,KM55853,90,230,1,10.4,1090,2.98,260,,,,297
298,KM55858,111,359,1.5,11.2,1050,3.9,160,,,,298
299,KM55860,97,260,1.1,10.7,1070,3.23,110,,,,299
300,KM55863,114,264,1.4,11.2,1100,3.03,210,,,,300
301,KM55864,106,253,1.2,11,1090,3.32,170,,,,301
302,KM55865,106,389,3.6,11,1030,3.61,230,,,,302
303,KM55866,102,207,1,10.9,1120,2.88,180,,,,303
304,KM55867,106,267,1.5,11.2,1090,3,240,,,,304
305,KM55868,106,326,1.3,11,1050,3.29,210,,,,305
306,KM55869,114,389,3.8,11.4,1040,3.29,260,,,,306
307,KM55871,114,260,1.3,11.2,1100,2.94,400,,,,307
308,KM55872,97,185,1.4,10.8,1130,2.81,210,,,,308
